Yorum No,Havayolu,Kullanıcı Adı,Katkı Sayısı,Puan,Başlık / Ana Tema,Rota,Kategori,Seyahat Tarihi,Yorum Tarihi,"Yorum İçeriği (Tam Metin - Türkçe)",Olumlu/Olumsuz/Nötr
52,Pegasus,Yiğit Ege,2,5,Fiyata göre müthiş deneyim,Nicosia - Istanbul,Domestic,Ocak 2025,3 Mayıs 2025,"Nazik kabin ekibi ve profesyonel uçuş personeli vardı. Yeni A321 ve A320 Neo uçakları ile karbon emisyonu ve yolcu konforu dengelenmiş. Catering hizmetleri ücretli olsa da fiyatlar adil ve ürün kalitesi iyiydi.",Olumlu
53,Pegasus,Nasibeyeter Ö,1,1,Şikâyetlere cevap verilmemesi,Gaziantep - Canton of Geneva,Europe,Nisan 2025,2 Mayıs 2025,"Müşteri memnuniyetinden uzak bir firma. Şikâyet mailime geri dönüş yapılmadı. 1-2 kilo bagaj için kesilen ücretlerin kalıcı müşteri memnuniyetini sağlamayacağını düşünüyorum.",Olumsuz
54,Pegasus,Nurkan U,1,1,Bebeğimin valizini kırdılar,Skopje - Istanbul,Europe,Nisan 2025,19 Nisan 2025,"Üsküp-İstanbul uçuşunda 3 yaşındaki oğlumun valizi kırıldı. Fermuarı ve çocuk bağlama kısmı zarar gördü. Bagaj hasarının bizden kaynaklanmadığı belirtildi ancak maddi ve manevi zararımız karşılanmadı. Valiz yeni alınmıştı ve ilk kullanımda hasar gördü.",Olumsuz
55,Pegasus,ibrahim y,1,1,Bagaj kontrol noktasında alınan fazladan 50 Euro bagaj ücreti,Istanbul - Sarajevo,Europe,Nisan 2025,6 Nisan 2025,"Bagaj kontrol noktasında kabin bagajım olmasına rağmen fazladan 50 Euro ücret talep edildi. Fatura verilmedi ve zorla ödeme yaptırıldı. Ödediğim ücretin geri iade edilmesini istiyorum.",Olumsuz
56,Pegasus,emine a,1,1,Berbat bir firma,Adana - Istanbul,Domestic,Mart 2025,28 Mart 2025,"14:10’daki yolculuğumuzu önce 17:35’e ertelediler. Uçak ancak 18:10’da kalktı ve havada yaklaşık yarım saat bekledikten sonra 20:00 civarında İstanbul Sabiha Gökçen’e vardık. İnsanların zamanını keyfi şekilde geciktiren kötü bir firma.",Olumsuz
57,Pegasus,Acun M,1,5,Güler yüzlü Pegasus uçuş ekibi,Basel - Istanbul,Europe,Mart 2025,19 Mart 2025,"18 Mart günü Basel’den İstanbul’a PC942 uçuş numaralı uçakla seyahat ettim. Kabin görevlileri Özge hanım ve Ramazan bey’in ilgi, alaka ve güler yüzlü davranışları için teşekkür ederim.",Olumlu
58,Pegasus,Ayşe T,1,5,Kabin ekibi muhteşem,Istanbul - London,Europe,Mart 2025,4 Mart 2025,"Kabin ekibi çok ilgili ve güler yüzlüydü. Her konuda yardımcı oldular. Çalışanların içtenliği uçuş deneyimini olumlu etkiledi.",Olumlu
59,Pegasus,radife a,2,1,Perperişan oldum,Antalya - Pristina,Europe,Şubat 2025,27 Şubat 2025,"Dönüşte yeni bavulumun iki ayağı kırılmıştı. Rapor tutturmama rağmen bavul değerinin altında ödeme yapıldı. Bir sonraki uçuşta bavulum tekrar hasarlı geldi ve etiket karışıklığı nedeniyle bagajım kayboldu. Bavulumun nerede olduğu belli değil. Sürekli mağduriyet yaşadım.",Olumsuz
60,Pegasus,Nilden U,2,1,Pegasus perişanlık pişmanlık,Nicosia - Adana,Europe,Şubat 2025,15 Şubat 2025,"Uçuşumuz yaklaşık 5 saat gecikti. Havalimanında uzun süre bekletildik ve kalkış saati hakkında net bilgi verilmedi. Yetkili bir kişi açıklama yapmadı. Büyük mağduriyet yaşadık.",Olumsuz
61,Pegasus,Hasan Ş,1,1,Din düşmanı çalışanlar var,Istanbul - Ankara,Domestic,Mart 2024,13 Şubat 2025,"Eşim Somalili ve kapalı bir bayan. İstanbul’dan Ankara’ya Göç İdaresi işlemleri için uçmamız gerekiyordu. Pegasus’tan bilet aldık ve sıraya girdik. Görevli bir bayan, eşime tuhaf bir şekilde bakarak kimliğinin süresinin geçtiğini söyleyip ‘uçamazsınız’ dedi. Bebeğimiz de yanımızdaydı. Göç İdaresinden gerekli yazıyı aldım fakat görevli yine uçuşa izin vermedi. Bilet ücretinin iadesini istedim ancak görevli bizi küçümseyerek ve gülerek uzaklaştırmaya çalıştı. AnadoluJet ile sorunsuz bir bilet aldık ve Pegasus'un hatalı tutumuna rağmen eşimi güvenli şekilde uçurduk. Bu süreç sırasında Pegasus’un çalışanlarının tutumu son derece yanlış ve ayrımcıydı. Göç İdaresi’ne üç kez gidip mühür almak zorunda kaldık, zaman kaybı ve stres yaşadık. Pegasus hakkında şikayetçiyim, personelin tutumu insan haklarına aykırı ve müşteriyi mağdur eden davranışlar içeriyor.",Olumsuz
62,Pegasus,Imran Y,1,1,Rezalet,Istanbul - Gaziantep,Domestic,Şubat 2025,11 Şubat 2025,"Biz İstanbul’dan kalkan Pegasus uçağı ile Gaziantep’e seyahat ettik. Uçağa binmeden önce gecikme yaşandı, ardından uçakta hava şartları nedeniyle yaklaşık 3 saat dolandık. Daha sonra iniş yapamayınca Adana’ya indirildik. Adadan başka bir otobüse bindik, ancak otobüs arızalandı ve yaklaşık 1 saat bekledik. Sonrasında başka bir otobüse bindik ve hedefimize ulaşabildik. Bu deneyim inanılmaz derecede stresli ve kaotikti. Uçuş süresi ve varış planları tamamen aksadı. Pegasus’u asla tavsiye etmem; yaşadığımız aksaklıklar ve personelin çözüm üretme konusundaki yetersizliği nedeniyle ciddi bir mağduriyet yaşadık.",Olumsuz
63,Pegasus,Murat Akkoyun,1,1,Bu ciddiyetsizlik uçak kazalarını beraberinde getirecek,Stuttgart - Konya,Europe,Ocak 2025,11 Şubat 2025,"10 Şubat 2025 tarihinde Stuttgart’tan Sabiha Gökçen aktarmalı Konya uçuşuna Pegasus ile gittim. Önceki deneyimlerim SunExpress ile sorunsuzdu; ancak Pegasus’ta üçüncü uçuşumda ciddi aksaklıklar yaşadım. Aktarma sırasında 59 bagaj bir gün gecikmeli olarak gönderildi. Kalabalık ve yetersiz personel nedeniyle rapor tutturma süreci çok uzun sürdü. Bagajların geç ulaşması yolcular arasında büyük bir isyana yol açtı. Konya havalimanındaki personel ise özveriyle süreci çözmeye çalıştı ancak İstanbul’daki personel kaos ve düzensizlik yarattı. Pegasus’un aktarmalı uçuşlarda bagajları zamanında göndermemesi, ciddi güvenlik ve müşteri memnuniyeti sorunları yaratıyor. Toplu boykot ve bilinçli davranışın kaliteyi artırabileceğini düşünüyorum.",Olumsuz
64,Pegasus,interne Y,1,1,Çakallık diz boyu,Istanbul - Manchester,Europe,Şubat 2025,4 Şubat 2025,"Hava muhalefeti nedeniyle uçuşum iptal edildi. Pegasus, yeni bir tarih atadı ve bu hizmet için 3022 TL ücret talep etti. Hava şartlarından kaynaklı sorun bizim kontrolümüzde değilken, ek ücret talep edilmesi kabul edilemez. Bu uygulama müşteriyi mağdur etmekte ve güveni zedelemektedir. Uçuş iptali ve ek ücretler konusundaki prosedürler tamamen müşteri aleyhine işlemektedir. Böyle bir uygulama, havayolu şirketinin sorumsuz ve etik dışı bir davranış sergilediğini göstermektedir.",Olumsuz
65,Pegasus,Cengiz K,1,1,Yanlış mesaj,Istanbul - Sharm El Sheikh,International,Ocak 2025,15 Ocak 2025,"30 Ocak 2025 tarihli uçuşum için bilet almıştım. Pegasus, uçuş iptali nedeniyle yeni tarih belirlememi istedi. Ancak önceki uçuş için bilet almama rağmen 1150 TL iptal ücreti talep ettiler. Eşimin biletini değiştirirken uçak dolu olduğu söylendi ve ben eşimden ayrı bir uçuşla gitmek zorunda kaldım. Mağduriyetimin giderilmesini talep etmeme rağmen 96 saat dedikleri sürede herhangi bir çözüm olmadı, ne arayan ne soran oldu. Pegasus’un iletişim eksikliği ve süreç yönetimindeki başarısızlığı, müşteriyi büyük ölçüde mağdur ediyor.",Olumsuz
66,Pegasus,Engin U,1,5,En iyi lowcost,Istanbul - Marseille,Europe,Haziran 2024,13 Ocak 2025,"Türkiye’nin en iyi lowcost havayolu olarak değerlendiriyorum. Pegasus, fiyat-performans açısından oldukça iyi ve sunduğu hizmetleri, ücretli eklemeler ve bagaj politikaları ile birlikte değerlendirince oldukça adil buluyorum. Uçak içi hizmetler, kabin ekibi ilgisi ve uçuş konforu açısından da beklentileri karşılıyor. Düşük maliyetli havayolu mantığını anlamayan yolcuların olumsuz yorumları, bu havayolu firmasının hak etmediği bir puan almasına yol açmış. Benim deneyimimde Pegasus zamanında kalkışlar, güvenli uçuş ve sorunsuz hizmet ile öne çıktı. Özellikle kabin ekibinin güler yüzlü ve yardımsever olması, yolculuğu çok daha rahat ve stressiz bir hale getirdi. Ayrıca, bilet fiyatlarının uygunluğu ve ek ücretlerin net şekilde belirtilmesi, yolculuk planlamasını kolaylaştırıyor. Lowcost havayolu mantığına uygun bir şekilde, ekstra hizmetler isteğe bağlı ve fiyatlandırması şeffaf. Genel olarak Pegasus ile yaptığım uçuş deneyimi beklentilerimin üzerinde oldu ve diğer yolculara da güvenle önerebilirim.",Olumlu
67,Pegasus,Salim Y,5,5,Uçuş Ekibinin Desteğiyle Rahat Bir Yolculuk,Istanbul - London,Europe,Ocak 2025,12 Ocak 2025,"Güler yüzlü ve profesyonel uçuş ekibine çok teşekkür ediyorum. İlk defa uçuş sırasında ciddi bir rahatsızlık yaşadım ve ne yapacağımı bilemiyordum. Kabin ekibinin sürekli ilgisi ve yardımı sayesinde, uçuşu güvenli ve sorunsuz bir şekilde tamamladım. Özellikle Sıla ve Dilara Hanım’a gösterdikleri özen ve destek için teşekkür etmek istiyorum. Uçuş süresince diğer kabin ekibi üyeleri de sürekli durumumu kontrol etti ve ihtiyaçlarımı karşıladılar. Bu yaklaşım, yolculuk sırasında kendimi çok daha rahat hissetmemi sağladı. Lowcost havayolu olmasına rağmen bu tür bir müşteri odaklı hizmet sunulması, Pegasus’u rakiplerinden farklı kılıyor. Ayrıca check-in ve biniş süreçlerinde de ekibin ilgisi ve yönlendirmeleri oldukça yardımcı oldu. Bu deneyim, Pegasus’un sadece uygun fiyatlı uçuşlar sunmakla kalmayıp aynı zamanda müşteri memnuniyetine verdiği önemi de gösteriyor.",Olumlu
68,Pegasus,Roving06514000139,2,5,Thank you,Kayseri - Istanbul,Domestic,Aralık 2024,11 Ocak 2025,"Yıllardır Pegasus ile uçuş yapıyorum ve genel olarak her zaman zamanında kalkışlar yaşadım. Çok nadiren rotar veya gecikme ile karşılaştım ve bu durumlar genellikle hava şartları gibi kontrolümüz dışında gelişen olaylardan kaynaklandı. Ücret açısından da Pegasus’un düşük maliyetli uçuş modeli, sunduğu hizmet kalitesi ile oldukça dengeli. Fiyat-performans açısından değerlendirdiğimde, özellikle Türkiye’deki diğer lowcost havayollarıyla kıyaslandığında Pegasus, beklentilerin oldukça üzerinde bir performans sergiliyor. Bu nedenle memnuniyetimi ifade etmek için bir teşekkür bırakmak istedim. Genel olarak, güvenli, zamanında ve ekonomik uçuş arayan yolcular için Pegasus oldukça iyi bir seçenek.",Olumlu
69,Pegasus,Yetiss C,1,1,Dolandırıcılık,Istanbul - Düsseldorf,Europe,Ocak 2025,2 Ocak 2025,"Ucuza bilet aldığımızı düşündük ama sonuç hayal kırıklığı oldu. Küçük bir el bagajı için uçuş öncesi ve check-in sırasında problem yaşadım ve tam uçağa binerken 100€ ek ücret talep edildi. Check-in sırasında sorulduğunda herhangi bir sorun olmayacağı söylendi, fakat uçağa binerken bagaj kabul edilmedi ve ödemeyi yapmazsak uçağa alınmayacağımız söylendi. Çalışanların kaba tutumu ve belirsiz prosedürler, yolculuğu son derece stresli ve tatsız hale getirdi. Müşteri hizmetleri ile iletişime geçmeye çalıştım fakat henüz fatura tarafıma ulaşmadı ve hizmet eksikliği devam ediyor. Bu deneyim, Pegasus’un el bagajı ve ek ücret yönetiminde yeterli şeffaflık ve müşteri odaklı yaklaşım sunmadığını gösteriyor. Eğer bu konularda daha dikkatli ve adil bir yaklaşım sergilenseydi, düşük maliyetli havayolu olarak müşteri memnuniyetini korumaları mümkün olabilirdi.",Olumsuz
70,Pegasus,Burak C,1,1,Dolandırıcı,Istanbul - Baku,International,Aralık 2024,29 Aralık 2024,"İstanbul-Bakü uçuşu için 3000 TL’ye bilet aldım ancak uçak içi küçük bir çanta için 2400 TL ek ücret talep edildi. Ayrıca uçak altı bagajı için 600 TL ödedim. Bu durum, uçuş deneyimimi ciddi şekilde olumsuz etkiledi ve kendimi dolandırılmış hissettim. Pegasus’un el bagajı ve ek ücret politikaları, yolculara net şekilde bildirilmediği sürece, düşük maliyetli havayolu modelinin avantajı kayboluyor. Bu tür uygulamalar, güven ve müşteri memnuniyetini ciddi şekilde zedelemektedir. Bu nedenle bu firmayı bir daha tercih etmeyi düşünmüyorum ve diğer yolculara da tavsiye etmiyorum. Yaşadığım olumsuz deneyimi paylaşarak, benzer durumları önlemeye çalışmak istiyorum. Özellikle düşük maliyetli havayolu modeli kapsamında, şeffaflık ve adil ücretlendirme politikası çok daha önem kazanıyor.",Olumsuz
71,Pegasus,haci k,1,1,Bol bol puan ile bilet almak hayal,Frankfurt - Istanbul,Europe,Aralık 2024,21 Aralık 2024,"Bol bol puan ile bilet satın alma sistemi beklentilerimi karşılamadı. Puan biriktirmenin bilet fiyatlarında avantaj sağlamadığını düşünüyorum. Özellikle pahalı biletlerde bol bol puan kullanılamıyor. Puanlar sadece yemek veya bagaj gibi sınırlı hizmetlerde geçerli. Benim bagajım yok, yemek istemiyorum ve koltuk seçimi de yapmak istemiyorum. Bu nedenle puan sisteminin daha esnek hale getirilmesi gerektiğini düşünüyorum.",Olumsuz
72,Pegasus,Nurcivan K,1,4,Pegasus ekip desteği,Hannover - Istanbul,Europe,Aralık 2024,15 Aralık 2024,"Uçuş ekibi, özellikle Lale Hanım ve diğer genç kabin görevlileri, uçuş sırasında yaşadığım rahatsızlık nedeniyle çok yardımcı oldular. Pozitif, güler yüzlü ve samimi yaklaşımları sayesinde yolculuğum daha rahat geçti. Sürekli olarak durumumu kontrol ederek ihtiyaçlarımı sordular. Bu destekleyici yaklaşım için kendilerine teşekkür ediyorum.",Olumlu
73,Pegasus,Mustafa A,1,2,Karşılaştığım olumsuzluklar,Kayseri - Jeddah,International,Kasım 2024,4 Aralık 2024,"Kabin ekibi yolcuların istek ve taleplerine karşı yeterince ilgili değildi. Verilen yemeklerin ısıtılmadan sunulması nedeniyle yemekler soğuk ve tatsızdı. Ek olarak su ve çay taleplerimiz olumsuz karşılandı. Bu durum yolculuğun konforunu düşürdü. Bunun dışında ciddi bir sorun yaşamadım ancak hizmet kalitesinin geliştirilmesi gerektiğini düşünüyorum.",Olumsuz
74,Pegasus,Simge A,1,1,Öğrencinin parasını yedi,Diyarbakir - Nicosia,Europe,Kasım 2024,23 Kasım 2024,"Yanlışlıkla satın aldığım koltuk için ödediğim 300 TL ücret iptal edilmedi. Bir öğrencinin 300 TL’sine kalınması bana göre etik değildir. Müşteri memnuniyeti açısından bu ücretin iade edilmesini beklerdim. Bu süreçte herhangi bir geri dönüş alamadım ve mağduriyetimin giderilmesini istiyorum.",Olumsuz
75,Pegasus,Levent K,2,1,Çok kötüydü,Oslo - Istanbul,Europe,Ekim 2024,19 Ekim 2024,"Müşterisine ve işine saygı duymayan bir firma olduğunu düşünüyorum. İlk kez Pegasus ile uçuş yaptım ve kabin içinin kötü koktuğunu fark ettim. Uluslararası bir uçuş olmasına rağmen koltuklar oldukça rahatsızdı ve yatmayan sabit koltuklar yolculuğu zorlaştırdı. Dört saatlik uçuş süresi boyunca konfor seviyesi çok düşüktü.",Olumsuz
76,Pegasus,Mehmet Bulut,5,1,Peron A18 Ercan Havalimanı,Nicosia - Diyarbakir,Europe,Eylül 2024,17 Ekim 2024,"Ercan Havalimanı Peron A18’de bilgi almak için Pegasus görevli personeline yaklaşmak istedim. Ancak personelin gergin ve anlayışsız bir tutum sergilediğini, sorularımı tersleyerek yanıtladığını ve arkamdan hakaret ettiğini düşündüğüm bir davranışla karşılaştım. Yol yorgunu olmama ve yaklaşık 1,5 saat uyumamış olmama rağmen herhangi bir tolerans gösterilmedi. Bu davranışın müşteri ilişkileri açısından uygun olmadığını düşünüyorum ve gerekli mercilere iletilmesini talep ediyorum.",Olumsuz
77,Pegasus,Safari54698735887,1,1,Sıfırdan düşük not varsa o,Istanbul - Bishkek,International,Eylül 2024,8 Ekim 2024,"Aktarmalı uçuşum gecikmeli gerçekleşti ve bu nedenle İstanbul’daki bağlantılı uçuşumu kaçırdım. Bagaj ve uçuş planı konusunda net ve zamanında bilgi verilmedi. İki ayrı bilet almak zorunda kaldım ve bu durum ek maliyet oluşturdu. Uçuş organizasyonu ve iletişim süreçlerinin geliştirilmesi gerektiğini düşünüyorum.",Olumsuz
78,Pegasus,Leman B,1,5,Teşekkürler Pegasus ailesi,Istanbul - Berlin,Europe,Ekim 2024,1 Ekim 2024,"Ekspres bagaj ve biniş makinelerini kullanarak işlemlerimi hızlı ve kolay şekilde tamamladım. Uçuşum zamanında kalktı ve genel olarak memnun kaldım. Yolculuğum sorunsuz geçti ve bu kolaylık sağlayan sistemleri diğer yolculara da tavsiye ediyorum.",Olumlu
79,Pegasus,Özgür T,2,1,Haksız ekstra el çantası ücreti,Istanbul - Rome,Europe,Eylül 2024,28 Eylül 2024,"Küçük bir el çantası için 1919 TL ek ücret alındı. Dönüş yolculuğumda başka bir havayolu firması aynı çanta için ücret talep etmedi. Bu durum, ek bagaj ücretlendirme politikasının tutarsız ve müşteri aleyhine işlediğini düşündürüyor.",Olumsuz
80,Pegasus,Ayşegül T,2,5,Memnuniyet,Düsseldorf - Izmir,Europe,Ağustos 2024,27 Eylül 2024,"25 Eylül 2025 tarihinde PC5306 Düsseldorf–İzmir uçuşumdan çok memnun kaldım. Kabin ekibinin ilgisi ve yardımsever yaklaşımı uçuş korkumu yenmeme yardımcı oldu. Personelin nazik ve profesyonel davranışı sayesinde yolculuğum oldukça rahat geçti. Bundan sonraki uçuşlarımda da Pegasus’u tercih etmeyi düşünüyorum.",Olumlu
81,Pegasus,Tayfun,1,1,Yeni bagaj kurallarımız saçmalığı,Saratov - Istanbul,Europe,Ağustos 2024,25 Ağustos 2024,"Pegasus'un son dönemde uygulamaya koyduğu yeni bagaj kuralları ciddi anlamda kafa karışıklığı yaratıyor ve yolcular için büyük bir sorun teşkil ediyor. Normal şartlarda, yolcuların biletleri ile birlikte kabin bagajları ve gerekiyorsa uçak altı ekstra bagajları bulunur ve bunlar ek ödeme ile taşınır. Ancak Pegasus, yeni kurallarla bu sistemi tamamen karmaşık bir hâle getirmiş. Yolculara 3 ayrı mail gönderilerek kabin bagajlarının uçak kapısında kontrol edileceği ve 50 Euro ücret alınacağı belirtilmiş. Bu uygulama hem yolcuları strese sokuyor hem de havayolu standartlarının dışında, anlaşılması güç bir prosedür yaratıyor. Yolcuların ekstra bagaj ve kişisel eşyalar için sürekli endişelenmeleri gerekiyor, bu da uçuş deneyimini olumsuz etkiliyor. Özellikle bilet fiyatına dahil olan hakların ve bagaj limitlerinin net bir şekilde belirtilmemesi, müşteri memnuniyeti açısından ciddi sorunlar yaratıyor. Pegasus’un bu politikayı gözden geçirip daha anlaşılır ve adil bir uygulama getirmesi gerektiğini düşünüyorum.",Olumsuz
82,Pegasus,Zisan S,2,1,Gelmeyen bagaj,Istanbul - Frankfurt,Europe,Temmuz 2024,22 Ağustos 2024,"16 Ağustos 2024 tarihinde İstanbul Sabiha Gökçen Havalimanı'ndan Frankfurt Main Havalimanı'na yaptığım uçuş sırasında bagajım teslim edildiği halde varışta gelmedi. Pegasus ile telefon ve e-posta yoluyla iletişime geçmeme rağmen bir haftadır hiçbir geri dönüş alamadım. Başvuru kayıt numarası oluşturuldu ve valizimin fotoğrafı ile tüm bilgiler gönderildi ancak hâlâ net bir bilgi paylaşılmadı. Her gün arayıp durumunu sormama rağmen sürekli olarak 'bakıyoruz, inceliyoruz' yanıtını aldım. Bu süreç hem zaman kaybı hem de büyük bir stres kaynağı oldu. Yolcuların özel eşyalarının bu kadar umursamaz bir şekilde yönetilmesi kabul edilemez. Eğer valiz 22 gün içinde gelmezse hukuki süreci başlatmayı düşünüyorum. Pegasus’un müşteri hizmetlerinin bu konudaki ilgisizliği, yolcu güvenini ciddi şekilde sarsıyor ve yeniden tercih edilmesini zorlaştırıyor.",Olumsuz
